器具            , 水栓                , 公衆用FU, 私室用FU, 確認済み, 備考
大便器          , 洗浄弁              ,      8  ,      6  , true   , 
大便器          , 洗浄タンク          ,      4  ,      3  , true, 
大便器, 専用洗浄弁          ,      4  ,      4, true, 
小便器          , 洗浄弁              ,      3  ,      3  , true, 
小便器          , 専用洗浄弁(自動水栓),      3,      3, true, 
手洗器          , 給水栓              ,      1,      0.5, true, 
洗面器          , 給水栓              ,      2,      1, true, 
医療用洗面器    , 給水混合栓          ,      3  ,      3  , true,
事務室用洗面器  , 給水混合栓          ,     3,     3, true,
台所流し        , 給水栓              ,      3  ,      3  , true,
料理場流し      , 給水栓              ,4,2, true,
料理場流し      ,混合水栓,3,3, true,
食器洗い流し    ,,5,5, true,
連合流し        ,,      3  ,      3  , true,
洗面流し,水栓1個につき,2,2, true,
掃除流し,,4,3, true,
水飲み器,水飲み水栓,2,1, true,
散水栓・車輌など, 給水栓              ,5,5, true,
洋風浴槽,,4,2, true,
シャワー        , 混合栓              ,      4  ,      2  , true,
浴槽一揃い,大便器洗浄弁,      8  ,      8  , true,
浴槽一揃い,大便器洗浄タンク,      6  ,      6  , true,
,,,,,
